state,LimitedEnglish,NoCoverage
Alabama,1841217,13.9
Alaska,249659,15
Arizona,2428743,14.4
Arkansas,1131288,16.3
California,12758648,14.8
Colorado,2039592,12.8
Connecticut,1355817,8.7
Delaware,349743,8.7
District of Columbia,277378,8.3
Florida,7328046,17.6
Georgia,3587521,20.9
Hawaii,450769,8.1
Idaho,591587,16.5
Illinois,4772421,11.9
Indiana,2502739,14.8
Iowa,1241471,7.7
Kansas,1109280,14.5
Kentucky,1712094,10
Louisiana,1718194,18.7
Maine,549841,11
Maryland,2165438,9.2
Massachusetts,2549336,4.6
Michigan,3834574,10.3
Minnesota,2129195,7.3
Mississippi,1095823,18.8
Missouri,2354809,12.9
Montana,410962,12.9
Nebraska,740765,12.4
Nevada,1021519,17.1
New Hampshire,519756,11.4
New Jersey,3194844,12.5
New Mexico,760916,15.4
New York,7282398,12.3
North Carolina,3790620,16.1
North Dakota,305431,8.8
Ohio,4593172,10.2
Oklahoma,1459759,13.9
Oregon,1535511,11
Pennsylvania,4945972,10.1
Puerto Rico,1233490,8
Rhode Island,409654,17.1
South Carolina,1826914,9.9
South Dakota,334475,14.2
Tennessee,2509665,24.9
Texas,9277197,13.9
Utah,918370,6.7
Vermont,257229,13.1
Virginia,3083820,10.7
Washington,2679601,10.1
West Virginia,735375,8.5
Wisconsin,2307685,15.1
Wyoming,232594,6