state,limitedEnglish,LastCheck5,NoCoverage,CostNoVisit,ST
Alabama,1841217,8.3,13.9,17.4,AL
Alaska,249659,13.2,15,11.9,AK
Arizona,2428743,8.4,14.4,15.5,AZ
Arkansas,1131288,10.1,16.3,18.2,AR
California,12758648,7.5,14.8,13.5,CA
Colorado,2039592,8.8,12.8,13.1,CO
Connecticut,1355817,5.3,8.7,11.3,CT
Delaware,349743,4.7,8.7,10.8,DE
District of Columbia,277378,3.5,8.3,10.5,DC
Florida,7328046,8,17.6,17.6,FL
Georgia,3587521,7.1,20.9,19,GA
Hawaii,450769,8.7,8.1,8.7,HI
Idaho,591587,14.4,16.5,15.8,ID
Illinois,4772421,7.7,11.9,12.4,IL
Indiana,2502739,11.6,14.8,15.1,IN
Iowa,1241471,8.2,7.7,8.8,IA
Kansas,1109280,8.5,14.5,12.5,KS
Kentucky,1712094,8.8,10,15.9,KY
Louisiana,1718194,6.4,18.7,17.5,LA
Maine,549841,7.1,11,10.9,ME
Maryland,2165438,3.5,9.2,10.1,MD
Massachusetts,2549336,3,4.6,8.3,MA
Michigan,3834574,6.1,10.3,14.6,MI
Minnesota,2129195,6.6,7.3,9.2,MN
Mississippi,1095823,9.1,18.8,19.4,MS
Missouri,2354809,9.5,12.9,13.7,MO
Montana,410962,10.8,12.9,11.9,MT
Nebraska,740765,8.8,12.4,11.8,NE
Nevada,1021519,9.3,17.1,17.3,NV
New Hampshire,519756,6.4,11.4,11.1,NH
New Jersey,3194844,4.1,12.5,14,NJ
New Mexico,760916,10.2,15.4,17.2,NM
New York,7282398,4.8,12.3,14,NY
North Carolina,3790620,5.8,16.1,16.2,NC
North Dakota,305431,10.9,8.8,7,ND
Ohio,4593172,8.4,10.2,13.1,OH
Oklahoma,1459759,10.9,13.9,15,OK
Oregon,1535511,9.7,11,14.4,OR
Pennsylvania,4945972,6.6,10.1,11.8,PA
Puerto Rico,1233490,3.6,8,11.9,PR
Rhode Island,409654,3.4,17.1,18.1,RI
South Carolina,1826914,9.7,9.9,10,SC
South Dakota,334475,10.8,14.2,15.5,SD
Tennessee,2509665,7.2,24.9,17.6,TN
Texas,9277197,8.4,13.9,14.3,TX
Utah,918370,10.8,6.7,9.1,UT
Vermont,257229,6.2,13.1,13.1,VT
Virginia,3083820,6.8,10.7,12.3,VA
Washington,2679601,8.8,10.1,16.5,WA
West Virginia,735375,7.5,8.5,10.6,WV
Wisconsin,2307685,7.1,15.1,11.8,WI
Wyoming,232594,13.8,6,12.2,WY