state,LimitedEnglish,NoCoverage,ST
Alabama,1841217,13.9,AL
Alaska,249659,15,AK
Arizona,2428743,14.4,AZ
Arkansas,1131288,16.3,AR
California,12758648,14.8,CA
Colorado,2039592,12.8,CO
Connecticut,1355817,8.7,CT
Delaware,349743,8.7,DE
District of Columbia,277378,8.3,DC
Florida,7328046,17.6,FL
Georgia,3587521,20.9,GA
Hawaii,450769,8.1,HI
Idaho,591587,16.5,ID
Illinois,4772421,11.9,IL
Indiana,2502739,14.8,IN
Iowa,1241471,7.7,IA
Kansas,1109280,14.5,KS
Kentucky,1712094,10,KY
Louisiana,1718194,18.7,LA
Maine,549841,11,ME
Maryland,2165438,9.2,MD
Massachusetts,2549336,4.6,MA
Michigan,3834574,10.3,MI
Minnesota,2129195,7.3,MN
Mississippi,1095823,18.8,MS
Missouri,2354809,12.9,MO
Montana,410962,12.9,MT
Nebraska,740765,12.4,NE
Nevada,1021519,17.1,NV
New Hampshire,519756,11.4,NH
New Jersey,3194844,12.5,NJ
New Mexico,760916,15.4,NM
New York,7282398,12.3,NY
North Carolina,3790620,16.1,NC
North Dakota,305431,8.8,ND
Ohio,4593172,10.2,OH
Oklahoma,1459759,13.9,OK
Oregon,1535511,11,OR
Pennsylvania,4945972,10.1,PA
Puerto Rico,1233490,8,PR
Rhode Island,409654,17.1,RI
South Carolina,1826914,9.9,SC
South Dakota,334475,14.2,SD
Tennessee,2509665,24.9,TN
Texas,9277197,13.9,TX
Utah,918370,6.7,UT
Vermont,257229,13.1,VT
Virginia,3083820,10.7,VA
Washington,2679601,10.1,WA
West Virginia,735375,8.5,WV
Wisconsin,2307685,15.1,WI
Wyoming,232594,6,WY